Chrono Trigger,chrono trigger,SNES,SNES,1995,RPG,Square,CT,Chrono,chrono.trigger|ct
Chrono Cross,chrono cross,PS1,PS1,1999,RPG,Square,,Chrono,chrono.cross
Secret of Mana,secret of mana,SNES,SNES,1993,Action RPG,Square,SoM,Secret of Mana,secret.of.mana|secret.of.mana.snes|som
Trials of Mana,trials of mana,SNES,SNES,1995,Action RPG,Square,Seiken Densetsu 3,Trials of Mana,seiken.densetsu.3|trials.of.mana.snes|sd3
Final Fantasy 16,final fantasy 16,PS5,PS5,2023,Action RPG,Square Enix,FF16,Final Fantasy,final.fantasy.16|ff16
Final Fantasy 7 Rebirth,final fantasy 7 rebirth,PS5,PS5,2024,Action RPG,Square Enix,FF7 Rebirth,Final Fantasy,final.fantasy.7.rebirth|ff7.rebirth
Final Fantasy 7 Remake,final fantasy 7 remake,PS4,PS4,2020,Action RPG,Square Enix,FF7 Remake,Final Fantasy,final.fantasy.7.remake|ff7.remake
Final Fantasy 7,final fantasy 7,PS1,PS1,1997,RPG,Square,FF7,Final Fantasy,final.fantasy.7|ff7
Final Fantasy 8,final fantasy 8,PS1,PS1,1999,RPG,Square,FF8,Final Fantasy,final.fantasy.8|ff8
Final Fantasy 9,final fantasy 9,PS1,PS1,2000,RPG,Square,FF9,Final Fantasy,final.fantasy.9|ff9
Final Fantasy 10,final fantasy 10,PS2,PS2,2001,RPG,Square,FF10,Final Fantasy,final.fantasy.10|ff10|ffx
Final Fantasy 10-2,final fantasy 10 2,PS2,PS2,2003,RPG,Square,FFX-2,Final Fantasy,final.fantasy.10.2|ff10.2|ffx2
Final Fantasy 12,final fantasy 12,PS2,PS2,2006,RPG,Square Enix,FF12,Final Fantasy,final.fantasy.12|ff12|ffxii
Final Fantasy 13,final fantasy 13,PS3,PS3,2009,RPG,Square Enix,FF13,Final Fantasy,final.fantasy.13|ff13|ffxiii
Final Fantasy 15,final fantasy 15,PS4,PS4,2016,Action RPG,Square Enix,FF15,Final Fantasy,final.fantasy.15|ff15|ffxv
Final Fantasy 1,final fantasy 1,NES,NES,1987,RPG,Square,FF1,Final Fantasy,final.fantasy.1|ff1
Final Fantasy 2,final fantasy 2,NES,NES,1988,RPG,Square,FF2,Final Fantasy,final.fantasy.2|ff2
Final Fantasy 3,final fantasy 3,SNES,SNES,1994,RPG,Square,FF3|FF6,Final Fantasy,final.fantasy.3|ff3|final.fantasy.6|ff6
Final Fantasy 4,final fantasy 4,SNES,SNES,1991,RPG,Square,FF4,Final Fantasy,final.fantasy.4|ff4
Final Fantasy 5,final fantasy 5,SNES,SNES,1992,RPG,Square,FF5,Final Fantasy,final.fantasy.5|ff5
Final Fantasy 6,final fantasy 6,SNES,SNES,1994,RPG,Square,FF6,Final Fantasy,final.fantasy.6|ff6
Final Fantasy Tactics,final fantasy tactics,PS1,PS1,1997,Strategy RPG,Square,FFT,Final Fantasy,final.fantasy.tactics|fft
Kingdom Hearts 3,kingdom hearts 3,PS4,PS4,2019,Action RPG,Square Enix,KH3,Kingdom Hearts,kingdom.hearts.3|kh3
Kingdom Hearts 2,kingdom hearts 2,PS2,PS2,2005,Action RPG,Square Enix,KH2,Kingdom Hearts,kingdom.hearts.2|kh2
Kingdom Hearts,kingdom hearts,PS2,PS2,2002,Action RPG,Square Enix,KH1,Kingdom Hearts,kingdom.hearts|kh|kh1
Dragon Quest 11,dragon quest 11,PS4,PS4,2017,RPG,Square Enix,DQ11,Dragon Quest,dragon.quest.11|dq11
Dragon Quest 8,dragon quest 8,PS2,PS2,2004,RPG,Level-5,DQ8,Dragon Quest,dragon.quest.8|dq8
Dragon Quest 7,dragon quest 7,PS1,PS1,2000,RPG,Heartbeat,DQ7,Dragon Quest,dragon.quest.7|dq7
Dragon Quest 3,dragon quest 3,NES,NES,1988,RPG,Chunsoft,DQ3,Dragon Quest,dragon.quest.3|dq3
Nier Automata,nier automata,PS4,PS4,2017,Action RPG,PlatinumGames,Nier 2,Nier,nier.automata
Nier Replicant,nier replicant,PS4,PS4,2021,Action RPG,Toylogic,Nier 1 Remaster,Nier,nier.replicant
Octopath Traveler,octopath traveler,Switch,Switch,2018,RPG,Square Enix,,Octopath,octopath.traveler
Octopath Traveler 2,octopath traveler 2,Switch,Switch,2023,RPG,Square Enix,Octopath 2,Octopath,octopath.traveler.2|octopath.2
Triangle Strategy,triangle strategy,Switch,Switch,2022,Strategy RPG,Artdink,,Triangle,triangle.strategy
Bravely Default,bravely default,3DS,3DS,2012,RPG,Square Enix,Bravely 1,Bravely,bravely.default|bravely.1
Bravely Second,bravely second,3DS,3DS,2015,RPG,Square Enix,Bravely 2,Bravely,bravely.second|bravely.2
Bravely Default 2,bravely default 2,Switch,Switch,2021,RPG,Square Enix,Bravely 3,Bravely,bravely.default.2|bravely.3
Live A Live,live a live,SNES,SNES,1994,RPG,Square,LiveALive,Live A Live,live.a.live
Live A Live Remake,live a live remake,Switch,Switch,2022,RPG,Square Enix,LiveALive HD,Live A Live,live.a.live.remake
Star Ocean,star ocean,SNES,SNES,1996,RPG,tri-Ace,SO1,Star Ocean,star.ocean|star.ocean.1|so1
Star Ocean 2,star ocean 2,PS1,PS1,1998,RPG,tri-Ace,SO2,Star Ocean,star.ocean.2|so2
Star Ocean 3,star ocean 3,PS2,PS2,2003,RPG,tri-Ace,SO3,Star Ocean,star.ocean.3|so3
Star Ocean 4,star ocean 4,X360,X360,2009,RPG,tri-Ace,SO4,Star Ocean,star.ocean.4|so4
Star Ocean 5,star ocean 5,PS4,PS4,2016,RPG,tri-Ace,SO5,Star Ocean,star.ocean.5|so5
Star Ocean 6,star ocean 6,PS5,PS5,2022,RPG,tri-Ace,SO6,Star Ocean,star.ocean.6|so6
Valkyrie Profile,valkyrie profile,PS1,PS1,1999,RPG,tri-Ace,VP1,Valkyrie,valkyrie.profile|vp|valkyrie.profile.1
Valkyrie Profile 2,valkyrie profile 2,PS2,PS2,2006,RPG,tri-Ace,VP2,Valkyrie,valkyrie.profile.2|vp2
Valkyria Chronicles,valkyria chronicles,PS3,PS3,2008,Strategy RPG,Sega,VC1,Valkyria,valkyria.chronicles|vc|valkyria.chronicles.1
Valkyria Chronicles 4,valkyria chronicles 4,PS4,PS4,2018,Strategy RPG,Sega,VC4,Valkyria,valkyria.chronicles.4|vc4
Resident Evil Village,resident evil village,PS5,PS5,2021,Survival Horror,Capcom,RE8,Resident Evil,re8|resident.evil.village
Resident Evil 7,resident evil 7,PS4,PS4,2017,Survival Horror,Capcom,RE7,Resident Evil,re7|resident.evil.7
Resident Evil 2 Remake,resident evil 2 remake,PS4,PS4,2019,Survival Horror,Capcom,RE2 Remake,Resident Evil,re2.remake
Resident Evil 3 Remake,resident evil 3 remake,PS4,PS4,2020,Survival Horror,Capcom,RE3 Remake,Resident Evil,re3.remake
Resident Evil 4 Remake,resident evil 4 remake,PS5,PS5,2023,Survival Horror,Capcom,RE4 Remake,Resident Evil,re4.remake
Resident Evil 4,resident evil 4,GC,GC,2005,Survival Horror,Capcom,RE4 Original,Resident Evil,re4|resident.evil.4.original
Resident Evil 2,resident evil 2,PS1,PS1,1998,Survival Horror,Capcom,RE2 Original,Resident Evil,re2|resident.evil.2.original
Resident Evil 3,resident evil 3,PS1,PS1,1999,Survival Horror,Capcom,RE3 Nemesis,Resident Evil,re3|resident.evil.3.nemesis|re3.nemesis
Resident Evil Code Veronica,resident evil code veronica,DC,DC,2000,Survival Horror,Capcom,RE CV,Resident Evil,re.code.veronica|code.veronica
Resident Evil 5,resident evil 5,PS3,PS3,2009,Survival Horror,Capcom,RE5,Resident Evil,re5|resident.evil.5
Resident Evil 6,resident evil 6,PS3,PS3,2012,Survival Horror,Capcom,RE6,Resident Evil,re6|resident.evil.6
Devil May Cry 5,devil may cry 5,PS4,PS4,2019,Hack and Slash,Capcom,DMC5,Devil May Cry,dmc5|devil.may.cry.5
Devil May Cry 4,devil may cry 4,PS3,PS3,2008,Hack and Slash,Capcom,DMC4,Devil May Cry,dmc4|devil.may.cry.4
Devil May Cry 3,devil may cry 3,PS2,PS2,2005,Hack and Slash,Capcom,DMC3,Devil May Cry,dmc3|devil.may.cry.3
Devil May Cry,devil may cry,PS2,PS2,2001,Hack and Slash,Capcom,DMC1,Devil May Cry,dmc|dmc1|devil.may.cry.1
DmC Devil May Cry,dmc devil may cry,PS3,PS3,2013,Hack and Slash,Ninja Theory,DmC Reboot,Devil May Cry,dmc.reboot|dmc.devil.may.cry
Monster Hunter Rise,monster hunter rise,Switch,Switch,2021,Action RPG,Capcom,MH Rise,Monster Hunter,mh.rise|monster.hunter.rise
